id,age_range,birthday,gender,first_name,last_name,location_lat,location_lng,home_town_lat,home_town_lng
598684282464239.0,73,8/14/2018,0,Dwain,Weatherley,-5.0986263,-42.8245916,51.287518,27.2018656
629001845067323.1,81,6/20/1993,1,Stephanus,Parkes,46.8235919,16.2881649,48.7212066,2.1222327
913736659373109.9,93,8/29/1986,0,Magdaia,Leathlay,37.751046,-25.670123,48.1735351,-89.4810715
313711253547079.7,32,1/18/2008,0,Celie,Whye,33.8305244,-4.8353154,50.3907682,17.0027214
166958018717672.4,53,9/18/1962,0,Jocelyne,Iglesias,60.1932037,24.9412435,10.6797099,122.4163734
198652435454619.7,36,6/7/1987,0,Dolly,Bovey,45.4131077,79.917079,55.951057,40.8600241
866073847308191.6,81,11/8/2005,1,Bryna,Eland,31.6890813,-4.1788953,48.8865404,2.215722
275745515749125.8,14,1/2/1997,1,Teodorico,McColm,-6.4306844,106.7175669,-21.2397333,-48.1002024
667342348213465.9,24,7/12/1986,1,Ragnar,Surphliss,10.108752,123.2710674,-27.6140791,-48.6370861
766199443545305.1,69,11/23/1997,1,Mary,Aharoni,49.4250351,16.5911908,4.9741169,9.9353318
740550389118104.0,30,1/14/1961,1,Muhammad,Restill,-2.2897636,102.1175404,42.8862964,74.6722459
787035418286715.4,10,4/2/1975,0,Sascha,Hollidge,-8.5262,120.2214,31.431407,118.467943
521463349416028.1,99,11/2/2018,0,Noam,Lemmens,30.221809,121.399164,35.289368,115.089905
645643677677467.3,58,11/18/2008,1,Igor,Heinz,12.4226795,124.2636184,-8.0976125,112.700315
603303867662129.8,100,1/26/1958,0,Danila,Breadmore,12.1235658,37.7795618,34.407966,108.347731
482009199461012.6,56,6/13/2000,1,Nyssa,Gemlett,40.576319,110.044106,37.0909826,138.1698009
972940654470631.9,53,1/5/1967,1,Tabbie,Huston,12.0554892,99.855247,3.095417,-76.1435915
199578148376279.1,98,12/8/2017,1,Mickie,Sans,46.3499163,15.1107601,-8.301579,123.0648331
285018024837455.4,55,12/11/1983,1,Jacinda,Ferrini,-8.0088871,111.9030636,-26.1353484,28.2949405
565365265521278.8,48,5/5/1962,1,Odie,Brockherst,46.083333,103.833333,18.4530602,-69.9474964
387282659393044.1,66,3/21/2006,0,Marie,Sallarie,-6.8008183,107.1781769,60.1734181,18.1771765
211912902590268.6,12,12/26/2013,0,Kippar,Trowler,45.477613,124.47553,-7.6387228,111.0460407
979503844840033.3,81,1/24/2015,1,Gnni,Daid,-3.4233267,130.2271243,41.576749,120.413376
760896055153373.8,69,10/2/1959,1,Elsbeth,Geikie,47.3892142,0.6942885,40.8727365,-8.4664515
776571744668245.5,70,6/12/1967,0,Pate,Joreau,41.8647615,12.3864842,28.369399,116.546998
109895601143600.4,68,12/16/1972,0,Lacee,Doud,6.5411018,101.2804075,59.3433282,18.0638221
344020774239843.0,13,5/6/2013,0,Berthe,Siene,5.9795827,124.6723608,12.333333,121.1500015
523503500819373.9,55,5/20/1998,0,Bel,Heindrich,36.990268,107.853926,55.2884444,23.9749999
639159424403798.5,64,7/17/1991,0,Ringo,McGarrahan,59.2733875,17.8926893,24.2442046,90.8163059
897136455091287.9,31,11/27/1985,0,Augy,Tinkham,59.8509005,17.6300093,48.7946784,2.3067496
665706271442239.4,91,5/27/1989,1,Abdel,Shelborne,-25.0324274,25.7486438,31.917522,35.032191
661133232068487.3,100,12/30/2009,0,Kristina,Milliken,-20.0783278,-44.301421,-6.70377,107.9087438
227944922581213.4,17,10/6/1990,0,Rose,Gent,10.6794457,37.2597576,27.58237,110.897275
409272603442283.6,42,9/13/2001,0,Arden,Maun,44.904219,78.2166516,-22.4206096,-41.8625084
890484596471851.3,92,3/5/1975,0,Kalli,Kirley,-23.5266796,-51.8311441,13.9718356,108.0150796
705415399254137.0,42,10/22/2011,0,Ramona,Killik,35.1002148,-89.8500299,56.6444907,14.224297
390080648389583.0,96,5/1/1963,1,Abigail,Shobrook,49.9606288,13.6430342,37.464539,121.447852
555866000614280.0,69,2/22/1965,0,Lena,Paddemore,23.269131,114.524679,52.5593605,-8.3545704
394421350667541.1,94,2/6/1998,0,Briant,Kirkhouse,31.829323,119.977286,-46.5996116,168.3457088
199584928433447.8,53,12/8/1968,0,Marjy,Syne,56.2437046,96.0954395,11.0736954,-68.9539593
154320254616631.0,74,7/29/1976,1,Kassie,Goodbourn,-6.080007,140.276147,57.3709349,25.032427
759938079319312.4,16,11/7/1983,0,Karylin,Martinelli,59.4033695,17.9443213,49.8932741,36.011984
180340676040117.3,37,12/28/2010,0,Rikki,Babonau,34.7474,111.87448,-26.4912117,29.2335299
441216217639183.9,100,12/23/2002,0,Keir,Breitling,-10.249091,-48.3242858,41.2159825,48.994559
924094893578675.1,38,9/14/1969,1,Consolata,Trigwell,11.1305191,2.9325785,13.1529217,10.6351404
